gene_A	gene_B	type_A	type_B
AMH	BMPR2	L	R
AMH	GREM2	L	R
VTN	H3BM21	L	R
VTN	ITGAV	L	R
VTN	ITGA2B	L	R
VTN	ITGB3	L	R
VTN	ITGB1	L	R
VTN	ITGA8	L	R
VTN	ITGB5	L	R
VTN	ITGB8	L	R
VTN	TNFRSF11B	L	R
VTN	PIK3C2A	L	R
VTN	ITGA10	L	R
VTN	PLAU	L	R
VTN	HSP90AA1	L	R
VTN	ITGA5	L	R
VTN	SRC	L	R
VTN	ITGA4	L	R
VTN	PVR	L	R
VTN	VEGFA	L	R
VTN	ITGB4	L	R
VTN	ITGA2	L	R
VTN	ITGB6	L	R
VTN	VCAM1	L	R
VTN	FPR1	L	R
VTN	ITGA6	L	R
VTN	ITGA3	L	R
VTN	ITGB7	L	R
VTN	FLT4	L	R
VTN	KDR	L	R
VTN	PI4KA	L	R
VTN	ITGA1	L	R
VTN	PLAUR	L	R
VTN	CD47	L	R
VTN	ILK	L	R
VTN	ROCK1	L	R
VTN	ITGA7	L	R
VTN	ITGA9	L	R
VTN	PTK2B	L	R
VTN	NECTIN2	L	R
VTN	PI4KB	L	R
VTN	ITGA11	L	R
ANXA1	FPR2	L	R
ANXA1	FPR3	L	R
ANXA1	EGFR	L	R
ANXA1	APP	L	R
ANXA1	ADRA2A	L	R
ANXA1	AR	L	R
ANXA1	SRC	L	R
ANXA1	FPR1	L	R
ANXA1	RPS6KB1	L	R
ANXA1	NOS3	L	R
ANXA1	STAT3	L	R
ANXA1	CCR10	L	R
ANXA1	MTNR1A	L	R
ANXA1	CDK5	L	R
ANXA1	PAK1	L	R
ANXA1	GRM7	L	R
ANXA1	ERBB4	L	R
ANXA1	NFE2L2	L	R
ANXA1	VRK3	L	R
ANXA1	LMTK2	L	R
ANXA1	SIRT2	L	R
PDGFA	TNFRSF11B	L	R
PDGFA	EGFR	L	R
PDGFA	ERBB2	L	R
PDGFA	IGF1R	L	R
PDGFA	MET	L	R
PDGFA	PDGFRB	L	R
PDGFA	FURIN	L	R
PDGFA	FGFR1	L	R
PDGFA	SRC	L	R
PDGFA	INSRR	L	R
PDGFA	VEGFA	L	R
PDGFA	PDGFRA	L	R
PDGFA	FLT1	L	R
PDGFA	PLCG1	L	R
PDGFA	SLC9A1	L	R
PDGFA	FGFR2	L	R
PDGFA	JAK1	L	R
PDGFA	CDK2	L	R
PDGFA	MAPK3	L	R
PDGFA	PIK3R1	L	R
PDGFA	FLT4	L	R
PDGFA	KDR	L	R
PDGFA	STAT3	L	R
PDGFA	PIK3CA	L	R
PDGFA	SOS1	L	R
PDGFA	PAK2	L	R
PDGFA	STK11	L	R
PDGFA	SPHK2	L	R
PDGFA	SPHK1	L	R
RLN2	RAMP2	L	R
RLN2	RAMP3	L	R
RLN2	ADRB2	L	R
RLN2	ADRB3	L	R
RLN2	TSHR	L	R
RLN2	VIPR1	L	R
RLN2	ADCYAP1R1	L	R
RLN2	PTH1R	L	R
RLN2	RXFP2	L	R
RLN2	GPR20	L	R
RLN2	RXFP1	L	R
RLN2	GPR84	L	R
RLN2	RXFP3	L	R
APOB	TREM2	L	R
APOB	TYROBP	L	R
APOB	TLR4	L	R
APOB	LRP6	L	R
APOB	LDLR	L	R
APOB	ITGB2	L	R
APOB	ENO1	L	R
APOB	ADRB2	L	R
APOB	ITGAM	L	R
APOB	PECAM1	L	R
APOB	CALCR	L	R
APOB	OLR1	L	R
APOB	VLDLR	L	R
APOB	LRP2	L	R
APOB	LRP1	L	R
APOB	APOBR	L	R
APOB	LRP8	L	R
APOB	LSR	L	R
APOB	TLR6	L	R
CSF2	CSF2	L	R
CSF2	CSF2RA	L	R
CSF2	CSF2RB	L	R
CSF2	TLR2	L	R
CSF2	JAK2	L	R
CSF2	PLAU	L	R
CSF2	TNF	L	R
CSF2	EPO	L	R
CSF2	MMP1	L	R
CSF2	MPO	L	R
CSF2	ITGB1	L	R
CSF2	CD1A	L	R
CSF2	CEACAM5	L	R
CSF2	FCER2	L	R
CSF2	CSF1R	L	R
CSF2	CSF1	L	R
CSF2	MMP9	L	R
CSF2	CPE	L	R
CSF2	PRKACA	L	R
CSF2	LGALS3	L	R
CSF2	FLT1	L	R
CSF2	HDC	L	R
CSF2	ITGAL	L	R
CSF2	PRKACG	L	R
CSF2	PRKACB	L	R
CSF2	JAK1	L	R
CSF2	IL3RA	L	R
CSF2	MAPK3	L	R
CSF2	MAPK1	L	R
CSF2	CD1C	L	R
CSF2	CCR1	L	R
CSF2	SDC2	L	R
CSF2	PPARG	L	R
CSF2	STAT3	L	R
CSF2	CD86	L	R
CSF2	PLA2G4A	L	R
CSF2	PIK3CG	L	R
CSF2	MMP14	L	R
CSF2	CDH11	L	R
CSF2	MAP2K1	L	R
CSF2	MCL1	L	R
CSF2	PLA2G7	L	R
CSF2	ITGA9	L	R
CSF2	CSF3R	L	R
TFF1	ITGB1	L	R
TFF1	GHR	L	R
TFF1	MUC5AC	L	R
TFF1	SOS1	L	R
TFF1	FCRL4	L	R
THY1	ITGAV	L	R
THY1	ITGB3	L	R
THY1	ITGAM	L	R
THY1	ITGB2	L	R
THY1	ITGAX	L	R
THY1	ADGRE5	L	R
THY1	CNTN1	L	R
THY1	ADGRE2	L	R
S100B	TNF	L	R
S100B	TNFRSF1A	L	R
S100B	FAS	L	R
S100B	NOS2	L	R
S100B	CASP2	L	R
S100B	GSK3B	L	R
S100B	BIRC3	L	R
S100B	RIPK1	L	R
S100B	CASP8	L	R
S100B	AGER	L	R
S100B	STK38	L	R
S100B	MAP3K5	L	R
VWF	ITGAV	L	R
VWF	ITGB3	L	R
VWF	ITGA2B	L	R
VWF	GP1BA	L	R
VWF	GP1BB	L	R
VWF	GP5	L	R
VWF	GP9	L	R
VWF	TNFRSF11B	L	R
VWF	LAT	L	R
VWF	ITGA10	L	R
VWF	F8	L	R
VWF	ITGB1	L	R
VWF	THBS1	L	R
VWF	ITGA5	L	R
VWF	ITGA4	L	R
VWF	SELP	L	R
VWF	ITGB4	L	R
VWF	ITGA2	L	R
VWF	ITGB5	L	R
VWF	ITGB6	L	R
VWF	ITGA6	L	R
VWF	ITGA3	L	R
VWF	ITGB7	L	R
VWF	ITGB8	L	R
VWF	MAPK1	L	R
VWF	NOS3	L	R
VWF	ITGA8	L	R
VWF	ITGA1	L	R
VWF	SIRPA	L	R
VWF	LRP1	L	R
VWF	ITGA7	L	R
VWF	ITGA9	L	R
VWF	PTK2B	L	R
VWF	SCARA5	L	R
VWF	ADAMTS13	L	R
VWF	STAB2	L	R
VWF	ITGA11	L	R
HLA-A	CD8B2	L	R
HLA-A	LAT	L	R
HLA-A	KLRC4	L	R
HLA-A	LILRA1	L	R
HLA-A	IL2RA	L	R
HLA-A	CD8A	L	R
HLA-A	CD3D	L	R
HLA-A	ERBB2	L	R
HLA-A	CD3G	L	R
HLA-A	CD28	L	R
HLA-A	CD8B	L	R
HLA-A	PRF1	L	R
HLA-A	IL2RB	L	R
HLA-A	KLRC1	L	R
HLA-A	KLRC2	L	R
HLA-A	PIK3R1	L	R
HLA-A	IL2RG	L	R
HLA-A	CD80	L	R
HLA-A	CSK	L	R
HLA-A	CD86	L	R
HLA-A	KIR2DL1	L	R
HLA-A	KIR2DL2	L	R
HLA-A	KIR2DL3	L	R
HLA-A	KIR3DL1	L	R
HLA-A	KIR3DL2	L	R
HLA-A	KIR2DS2	L	R
HLA-A	KIR2DS4	L	R
HLA-A	PRKCQ	L	R
HLA-A	APLP2	L	R
HLA-A	KLRC3	L	R
HLA-A	KLRD1	L	R
HLA-A	KIR2DS3	L	R
HLA-A	KIR2DS5	L	R
HLA-A	KIR2DS1	L	R
HLA-A	KIR2DL5A	L	R
HLA-A	LILRB2	L	R
HLA-A	LILRB1	L	R
HLA-A	KIR2DL4	L	R
HLA-DPB1	CTSV	L	R
HLA-DPB1	CD4	L	R
HLA-DPB1	CTSL	L	R
HLA-DPB1	LAG3	L	R
HLA-DPB1	CTSS	L	R
HLA-DPB1	LGMN	L	R
HLA-DPB1	CTSF	L	R
WNT1	FZD9	L	R
WNT1	LRP5	L	R
WNT1	LRP6	L	R
WNT1	FZD6	L	R
WNT1	FZD7	L	R
WNT1	FZD5	L	R
WNT1	FZD2	L	R
WNT1	FZD8	L	R
WNT1	FZD3	L	R
WNT1	FZD4	L	R
WNT1	FZD10	L	R
WNT1	FZD1	L	R
WNT1	RYK	L	R
WNT1	MAP3K7	L	R
WNT1	ITGB4	L	R
WNT1	NOTCH1	L	R
WNT1	ROR2	L	R
WNT1	CREBBP	L	R
WNT1	WIF1	L	R
TP53	CREBBP	L	R
TP53	EP300	L	R
TP53	TNFRSF10A	L	R
TP53	PLK4	L	R
TP53	ADGRB1	L	R
TP53	CHEK1	L	R
TP53	TNFRSF10B	L	R
TP53	TNFRSF10C	L	R
TP53	AURKA	L	R
TP53	PPM1D	L	R
TP53	BIRC5	L	R
TP53	RGS16	L	R
TP53	P2RX6	L	R
TP53	HMMR	L	R
TP53	ULK1	L	R
TP53	TRPM2	L	R
TP53	MAP4K4	L	R
TP53	CHEK2	L	R
TP53	EGFR	L	R
TP53	TGFA	L	R
TP53	ESR1	L	R
TP53	NR3C1	L	R
TP53	CDK1	L	R
TP53	CTSD	L	R
TP53	THBS1	L	R
TP53	IGF1R	L	R
TP53	ABCB1	L	R
TP53	HSP90AB1	L	R
TP53	MMP2	L	R
TP53	MET	L	R
TP53	HMGB1	L	R
TP53	PDGFRB	L	R
TP53	HSPA1A	L	R
TP53	HSPA1B	L	R
TP53	AR	L	R
TP53	BCL2	L	R
TP53	HSPA8	L	R
TP53	VDR	L	R
TP53	ODC1	L	R
TP53	PKM	L	R
TP53	LGALS3	L	R
TP53	EIF2AK2	L	R
TP53	TAF1	L	R
TP53	CDK2	L	R
TP53	FAS	L	R
TP53	DNMT1	L	R
TP53	MAPK3	L	R
TP53	EPHA2	L	R
TP53	CASP1	L	R
TP53	NOS3	L	R
TP53	BDKRB2	L	R
TP53	RRM2	L	R
TP53	PTGS2	L	R
TP53	STAT3	L	R
TP53	BCL6	L	R
TP53	FASLG	L	R
TP53	DAPK1	L	R
TP53	CASP6	L	R
TP53	PTEN	L	R
TP53	CSNK2B	L	R
TP53	CX3CL1	L	R
TP53	XIAP	L	R
TP53	MDM2	L	R
TP53	FABP5	L	R
TP53	TAP1	L	R
TP53	PTK2	L	R
TP53	BCL2L1	L	R
TP53	MCL1	L	R
TP53	DDR1	L	R
TP53	ATM	L	R
TP53	BIRC3	L	R
TP53	CASP8	L	R
TP53	EZH2	L	R
TP53	NFE2L2	L	R
TP53	UNC5D	L	R
TP53	RRM2B	L	R
TP53	VRK2	L	R
TP53	ULK2	L	R
TP53	KAT2B	L	R
TP53	CASP10	L	R
TP53	SIRT1	L	R
TP53	SLC38A2	L	R
TP53	VRK1	L	R
TP53	SETD2	L	R
TP53	HIPK2	L	R
TP53	PLK3	L	R
TP53	NLRC4	L	R
TP53	LATS2	L	R
TP53	PLK2	L	R
TP53	TNFRSF10D	L	R
TP53	PADI4	L	R
TP53	PRKAB1	L	R
RLN1	NR3C1	L	R
RLN1	PPARG	L	R
RLN1	RXFP4	L	R
RLN1	RXFP2	L	R
RLN1	RXFP1	L	R
RLN1	RXFP3	L	R
IFNW1	IFNA2	L	R
IFNW1	IFNAR1	L	R
IFNW1	IFNAR2	L	R
IFNA6	IFNA2	L	R
IFNA6	IFNAR1	L	R
IFNA6	IFNAR2	L	R
IFNA6	IFNGR1	L	R
IFNA6	IFNGR2	L	R
IFNA4	IFNA2	L	R
IFNA4	IFNAR1	L	R
IFNA4	IFNAR2	L	R
IFNA4	IFNGR1	L	R
IFNA4	IFNGR2	L	R
IFNA16	IFNA2	L	R
IFNA16	IFNAR1	L	R
IFNA16	IFNAR2	L	R
IFNA16	IFNGR1	L	R
IFNA16	IFNGR2	L	R
IGF1	ITGAV	L	R
IGF1	ITGB3	L	R
IGF1	GPC3	L	R
IGF1	IGF1R	L	R
IGF1	ITGA6	L	R
IGF1	ITGB4	L	R
IGF1	CHEK1	L	R
IGF1	HDAC3	L	R
IGF1	PDPK1	L	R
IGF1	EGFR	L	R
IGF1	ESR1	L	R
IGF1	RAF1	L	R
IGF1	ERBB2	L	R
IGF1	APP	L	R
IGF1	INSR	L	R
IGF1	TH	L	R
IGF1	MET	L	R
IGF1	HMOX1	L	R
IGF1	PDGFRB	L	R
IGF1	AR	L	R
IGF1	FGFR1	L	R
IGF1	IGF2R	L	R
IGF1	SRC	L	R
IGF1	INSRR	L	R
IGF1	VEGFA	L	R
IGF1	PDGFRA	L	R
IGF1	FLT1	L	R
IGF1	RXRA	L	R
IGF1	FGFR2	L	R
IGF1	RPS6KB1	L	R
IGF1	MAPK3	L	R
IGF1	PIK3R1	L	R
IGF1	MAPK1	L	R
IGF1	NOS3	L	R
IGF1	NOS1	L	R
IGF1	FLT4	L	R
IGF1	KDR	L	R
IGF1	STAT3	L	R
IGF1	PIK3CA	L	R
IGF1	CASP3	L	R
IGF1	PIK3CG	L	R
IGF1	GSK3A	L	R
IGF1	GSK3B	L	R
IGF1	PLXNA3	L	R
IGF1	PTK2	L	R
IGF1	SOS1	L	R
IGF1	PRKAA1	L	R
IGF1	ATM	L	R
IGF1	STK11	L	R
IGF1	WNK1	L	R
IGF1	PRKAB1	L	R
APOD	LEPR	L	R
S100A8	TLR4	L	R
S100A8	MMP1	L	R
S100A8	ITGB2	L	R
S100A8	CD36	L	R
S100A8	CD68	L	R
S100A8	STAT3	L	R
S100A8	MTOR	L	R
S100A8	MDM2	L	R
S100A8	CD69	L	R
INHA	TGFBR3	L	R
IL4	A0A2R8YE73	L	R
IL4	IL2RG	L	R
IL4	IL4R	L	R
IL4	IL13	L	R
IL4	IL13RA1	L	R
IL4	IL13RA2	L	R
IL4	TNFRSF11B	L	R
IL4	CHEK1	L	R
IL4	JAK2	L	R
IL4	TGFB1	L	R
IL4	IL2RA	L	R
IL4	RAF1	L	R
IL4	NR3C1	L	R
IL4	CYP2E1	L	R
IL4	FCER2	L	R
IL4	KLK3	L	R
IL4	MMP3	L	R
IL4	AR	L	R
IL4	SLC25A6	L	R
IL4	IDO1	L	R
IL4	ANPEP	L	R
IL4	ALOX15	L	R
IL4	SELP	L	R
IL4	LGALS3	L	R
IL4	PTPN1	L	R
IL4	PLCG1	L	R
IL4	VCAM1	L	R
IL4	CD53	L	R
IL4	PIK3R1	L	R
IL4	TYK2	L	R
IL4	NOS2	L	R
IL4	PTGS2	L	R
IL4	PPARG	L	R
IL4	STAT3	L	R
IL4	STAT6	L	R
IL4	PIK3CA	L	R
IL4	CASP3	L	R
IL4	IL12RB1	L	R
IL4	PIK3CG	L	R
IL4	CCR3	L	R
IL4	CXCR4	L	R
IL4	DLK1	L	R
IL4	MUC5AC	L	R
IL4	MS4A2	L	R
IL4	TNFRSF17	L	R
IL4	MAPK14	L	R
IL4	CLEC4G	L	R
IL4	IL12RB2	L	R
IL4	IL21R	L	R
IL5	CSF2RB	L	R
IL5	IL5RA	L	R
IL5	BCL2	L	R
IL5	CSF2RA	L	R
IL5	PTAFR	L	R
IL5	MAPK3	L	R
IL5	PIK3R1	L	R
IL5	NOS3	L	R
IL5	PIK3CA	L	R
FGF1	ITGAV	L	R
FGF1	ITGB3	L	R
FGF1	NRP1	L	R
FGF1	EGFR	L	R
FGF1	IGF1R	L	R
FGF1	MET	L	R
FGF1	PDGFRB	L	R
FGF1	FGFR1	L	R
FGF1	CD44	L	R
FGF1	PDGFRA	L	R
FGF1	PLCG1	L	R
FGF1	FGFR2	L	R
FGF1	FGFR4	L	R
FGF1	FGFR3	L	R
FGF1	PIK3R1	L	R
FGF1	STAT3	L	R
FGF1	PIK3CA	L	R
FGF1	MMP14	L	R
FGF1	TGFBR3	L	R
FGF1	CSPG4	L	R
FGF1	FGFRL1	L	R
IL6	A0A087WTB5	L	R
IL6	IL6	L	R
IL6	IL6R	L	R
IL6	IL6ST	L	R
IL6	IL13RA1	L	R
IL6	IL13RA2	L	R
IL6	IL4R	L	R
IL6	CNTFR	L	R
IL6	LIFR	L	R
IL6	IL11RA	L	R
IL6	IL27RA	L	R
IL6	OSMR	L	R
IL6	IL31RA	L	R
IL6	SGK1	L	R
IL6	TLR4	L	R
IL6	MUSK	L	R
IL6	DAPK3	L	R
IL6	TLR2	L	R
IL6	FCGR3B	L	R
IL6	ESR1	L	R
IL6	INSR	L	R
IL6	DCN	L	R
IL6	CTSB	L	R
IL6	LYN	L	R
IL6	ABCB1	L	R
IL6	MET	L	R
IL6	HMOX1	L	R
IL6	CSF1	L	R
IL6	GZMB	L	R
IL6	AR	L	R
IL6	BCL2	L	R
IL6	CDK4	L	R
IL6	F3	L	R
IL6	MMP9	L	R
IL6	IL2RB	L	R
IL6	VEGFA	L	R
IL6	TSHR	L	R
IL6	MSR1	L	R
IL6	RPS6KB1	L	R
IL6	MAPK3	L	R
IL6	NOS3	L	R
IL6	OXTR	L	R
IL6	CCR7	L	R
IL6	PTGS2	L	R
IL6	HRH1	L	R
IL6	KDR	L	R
IL6	STAT3	L	R
IL6	BCL6	L	R
IL6	MTOR	L	R
IL6	CXCL12	L	R
IL6	JAK3	L	R
IL6	MAP2K6	L	R
IL6	MCL1	L	R
IL6	SOS1	L	R
IL6	MAPK7	L	R
IL6	NCOA1	L	R
IL6	STK11	L	R
IL6	IL17A	L	R
IL6	SLC52A2	L	R
IL6	NOTCH3	L	R
EDN1	KCNK3	L	R
EDN1	ADCY6	L	R
EDN1	ADCY3	L	R
EDN1	ADCY9	L	R
EDN1	JAK2	L	R
EDN1	ADCY5	L	R
EDN1	EGFR	L	R
EDN1	REN	L	R
EDN1	TGFB1	L	R
EDN1	MMP1	L	R
EDN1	PLA2G1B	L	R
EDN1	TH	L	R
EDN1	AR	L	R
EDN1	CHRM1	L	R
EDN1	NPR3	L	R
EDN1	PLCG1	L	R
EDN1	SLC9A1	L	R
EDN1	PTGS1	L	R
EDN1	RPS6KB1	L	R
EDN1	EDNRB	L	R
EDN1	EDNRA	L	R
EDN1	MAPK3	L	R
EDN1	MAPK1	L	R
EDN1	NOS3	L	R
EDN1	NOS2	L	R
EDN1	ADCY8	L	R
EDN1	STAT3	L	R
EDN1	ECE1	L	R
EDN1	MCAM	L	R
EDN1	MAPK8	L	R
EDN1	PLA2G4A	L	R
EDN1	PIK3CG	L	R
EDN1	SLC9A3	L	R
EDN1	GSK3B	L	R
EDN1	PTK2	L	R
EDN1	ADCY2	L	R
EDN1	ADCY1	L	R
EDN1	ILK	L	R
EDN1	PTK2B	L	R
EDN1	CASP8	L	R
EDN1	PRKD1	L	R
EDN1	MAPK14	L	R
EDN1	ADCY4	L	R
EDN1	ADGRL4	L	R
EDN1	PLCB1	L	R
EDN1	CYSLTR2	L	R
EDN1	HDAC5	L	R
EDN1	CYSLTR1	L	R
EDN1	NOX1	L	R
ICAM1	ITGAM	L	R
ICAM1	ITGB2	L	R
ICAM1	ITGAL	L	R
ICAM1	ITGAX	L	R
ICAM1	EGFR	L	R
ICAM1	IL2RA	L	R
ICAM1	SRC	L	R
ICAM1	EZR	L	R
ICAM1	MUC1	L	R
ICAM1	SPN	L	R
ICAM1	PECAM1	L	R
ICAM1	PLCG2	L	R
ICAM1	PLCG1	L	R
ICAM1	VCAM1	L	R
ICAM1	NOS3	L	R
ICAM1	IL2RG	L	R
ICAM1	CDH5	L	R
ICAM1	CLEC4M	L	R
ICAM1	CD209	L	R
REG1A	PTK2	L	R
HLA-DQB2	CTSV	L	R
HLA-DQB2	CTSL	L	R
HLA-DQB2	LAG3	L	R
HLA-DQB2	CTSS	L	R
HLA-DQB2	LGMN	L	R
HLA-DQB2	CTSF	L	R
FYN	CD300LB	L	R
FYN	PIK3CD	L	R
FYN	PIK3R2	L	R
FYN	PTPRT	L	R
FYN	PLD2	L	R
FYN	LAT	L	R
FYN	JAK2	L	R
FYN	PLXNA2	L	R
FYN	SDC3	L	R
FYN	FLOT1	L	R
FYN	TRIO	L	R
FYN	ABL1	L	R
FYN	EGFR	L	R
FYN	PDGFB	L	R
FYN	RAF1	L	R
FYN	THY1	L	R
FYN	ERBB2	L	R
FYN	NTRK1	L	R
FYN	APP	L	R
FYN	ITGB3	L	R
FYN	ITGB2	L	R
FYN	ITGB1	L	R
FYN	CD5	L	R
FYN	LCK	L	R
FYN	CD2	L	R
FYN	FCER2	L	R
FYN	TUBB	L	R
FYN	CD3E	L	R
FYN	YES1	L	R
FYN	LYN	L	R
FYN	IGF1R	L	R
FYN	CD55	L	R
FYN	PTPRC	L	R
FYN	HCK	L	R
FYN	PDGFRB	L	R
FYN	CD3G	L	R
FYN	FGR	L	R
FYN	PTPRF	L	R
FYN	KIT	L	R
FYN	CD28	L	R
FYN	BCR	L	R
FYN	MS4A1	L	R
FYN	CD79A	L	R
FYN	FCGR2A	L	R
FYN	SRC	L	R
FYN	IL2RB	L	R
FYN	CD19	L	R
FYN	CD44	L	R
FYN	ITGB4	L	R
FYN	SPN	L	R
FYN	PECAM1	L	R
FYN	CTLA4	L	R
FYN	CD36	L	R
FYN	IL7R	L	R
FYN	PLCG2	L	R
FYN	PRKCA	L	R
FYN	PRKACA	L	R
FYN	ITGB5	L	R
FYN	ITGB6	L	R
FYN	PLCG1	L	R
FYN	EIF2AK2	L	R
FYN	CD247	L	R
FYN	EPHA1	L	R
FYN	ERBB3	L	R
FYN	ITGA6	L	R
FYN	PTPRE	L	R
FYN	PTPRZ1	L	R
FYN	CDK2	L	R
FYN	F2R	L	R
FYN	FAS	L	R
FYN	ITGB7	L	R
FYN	ITGB8	L	R
FYN	PIK3R1	L	R
FYN	EPHA2	L	R
FYN	EPHA3	L	R
FYN	EPHB2	L	R
FYN	TYK2	L	R
FYN	FCER1G	L	R
FYN	FCGR2B	L	R
FYN	FCGR2C	L	R
FYN	ARRB2	L	R
FYN	CSF2RB	L	R
FYN	SDC2	L	R
FYN	PTGS2	L	R
FYN	BSG	L	R
FYN	KDR	L	R
FYN	FLT3	L	R
FYN	CD79B	L	R
FYN	STAT3	L	R
FYN	CSK	L	R
FYN	GRIA1	L	R
FYN	PIK3CA	L	R
FYN	PIK3CB	L	R
FYN	CASP3	L	R
FYN	TXK	L	R
FYN	MCAM	L	R
FYN	DCC	L	R
FYN	ZAP70	L	R
FYN	SYK	L	R
FYN	FASLG	L	R
FYN	GSK3B	L	R
FYN	RPS6KA3	L	R
FYN	BMX	L	R
FYN	PRKAA2	L	R
FYN	EPHB1	L	R
FYN	EPHA4	L	R
FYN	RACK1	L	R
FYN	TUBA4A	L	R
FYN	CNTNAP1	L	R
FYN	CDK6	L	R
FYN	CDK5	L	R
FYN	IFITM3	L	R
FYN	PRKCE	L	R
FYN	TEK	L	R
FYN	PLAUR	L	R
FYN	PRKCQ	L	R
FYN	MST1R	L	R
FYN	PTK2	L	R
FYN	PRKCD	L	R
FYN	TYRO3	L	R
FYN	SOS1	L	R
FYN	TNK2	L	R
FYN	PDE4D	L	R
FYN	ITK	L	R
FYN	CNTN1	L	R
FYN	GRIN2A	L	R
FYN	PTPRJ	L	R
FYN	PAK1	L	R
FYN	MAPK7	L	R
FYN	GRIN2B	L	R
FYN	GRM1	L	R
FYN	SLAMF1	L	R
FYN	UNC119	L	R
FYN	ADAM15	L	R
FYN	LRP8	L	R
FYN	PTK2B	L	R
FYN	ITPR1	L	R
FYN	CASP8	L	R
FYN	PRKD1	L	R
FYN	MAPK11	L	R
FYN	CD226	L	R
FYN	STK11	L	R
FYN	SCN9A	L	R
FYN	NFE2L2	L	R
FYN	MAPK14	L	R
FYN	NTRK2	L	R
FYN	TIGIT	L	R
FYN	AATK	L	R
FYN	TUBA1A	L	R
FYN	CD300LF	L	R
FYN	LPP	L	R
FYN	SIGLEC10	L	R
FYN	DCBLD2	L	R
FYN	CD244	L	R
FYN	TRPV6	L	R
FYN	SLK	L	R
FYN	TRPV4	L	R
FYN	GP6	L	R
FYN	NOX4	L	R
FYN	TRPC4	L	R
FYN	PLXNA1	L	R
FYN	KCND3	L	R
FYN	TRPC6	L	R
CCK	ODC1	L	R
CCK	CNR1	L	R
CCK	MAPK1	L	R
CCK	CCKAR	L	R
CCK	CCKBR	L	R
CCK	PRKCQ	L	R
CCK	PAK2	L	R
CCK	PRKD1	L	R
HLA-DOA	CTSV	L	R
HLA-DOA	CD4	L	R
HLA-DOA	CTSL	L	R
HLA-DOA	CTSS	L	R
HLA-DOA	LGMN	L	R
HLA-DOA	CTSF	L	R
S100A9	TLR4	L	R
S100A9	MMP1	L	R
S100A9	ITGB2	L	R
S100A9	CD36	L	R
S100A9	CD68	L	R
S100A9	MTOR	L	R
S100A6	ESR1	L	R
S100A6	PTK2	L	R
APOA4	LDLR	L	R
APOA4	LRP2	L	R
APOA4	LRP1	L	R
CEACAM5	CD8A	L	R
CEACAM5	CEACAM1	L	R
CEACAM5	CEACAM6	L	R
CEACAM5	LRP8	L	R
GPI	STAT3	L	R
GPI	MAP2K1	L	R
GPI	HDAC1	L	R
GPI	SETDB1	L	R
CRH	RAMP2	L	R
CRH	RAMP3	L	R
CRH	ADRB2	L	R
CRH	ADRB3	L	R
CRH	TSHR	L	R
CRH	TPH1	L	R
CRH	PTGS1	L	R
CRH	MAPK1	L	R
CRH	VIPR1	L	R
CRH	CRHR1	L	R
CRH	ADCYAP1R1	L	R
CRH	PIK3CG	L	R
CRH	MC2R	L	R
CRH	PTH1R	L	R
CRH	CRHR2	L	R
CRH	GPR20	L	R
CRH	GPR84	L	R
KLK1	PLAT	L	R
KLK1	F2R	L	R
TPO	JAK2	L	R
TPO	MPL	L	R
ANXA2	TLR2	L	R
ANXA2	EGFR	L	R
ANXA2	PLAT	L	R
ANXA2	SRC	L	R
ANXA2	STAT3	L	R
ANXA2	AQP2	L	R
ANXA2	ROBO4	L	R
GP1BA	ITGAM	L	R
GP1BA	ITGB2	L	R
GP1BA	SELP	L	R
GP1BA	SYK	L	R
PRSS1	F2RL2	L	R
PRSS1	PRSS2	L	R
PRSS1	F2R	L	R
PRSS1	F2RL1	L	R
PRSS1	PARD3	L	R
PRSS1	F2RL3	L	R
PRSS2	F2RL2	L	R
PRSS2	F2R	L	R
PRSS2	F2RL1	L	R
PRSS2	PARD3	L	R
PRSS2	F2RL3	L	R
GRP	EGFR	L	R
GRP	HSPA1A	L	R
GRP	HSPA1B	L	R
GRP	NMBR	L	R
GRP	GRPR	L	R
GRP	BRS3	L	R
GRP	PIK3CG	L	R
DCN	TLR4	L	R
DCN	TLR2	L	R
DCN	EGFR	L	R
DCN	TGFB1	L	R
DCN	IGF1R	L	R
DCN	MET	L	R
DCN	VEGFA	L	R
DCN	KDR	L	R
DCN	LRP1	L	R
DCN	ERBB4	L	R
LAMB1	ITGA3	L	R
LAMB1	ITGA9	L	R
LAMB1	ITGAV	L	R
LAMB1	ITGB8	L	R
LAMB1	ITGA10	L	R
LAMB1	PRNP	L	R
LAMB1	ITGB3	L	R
LAMB1	ITGA2B	L	R
LAMB1	ITGA5	L	R
LAMB1	ITGA4	L	R
LAMB1	CD44	L	R
LAMB1	ITGB5	L	R
LAMB1	ITGB6	L	R
LAMB1	ITGB7	L	R
LAMB1	PIK3R1	L	R
LAMB1	PIK3CA	L	R
LAMB1	ITGA8	L	R
LAMB1	PTK2	L	R
LAMB1	DAG1	L	R
LAMB1	SV2C	L	R
LAMB1	SV2B	L	R
LAMB1	ITGA11	L	R
THBS1	ITGAV	L	R
THBS1	ITGB3	L	R
THBS1	ITGA3	L	R
THBS1	ITGB1	L	R
THBS1	TNFRSF11B	L	R
THBS1	SDC3	L	R
THBS1	LRP4	L	R
THBS1	LRP5	L	R
THBS1	ITGA10	L	R
THBS1	EGFR	L	R
THBS1	TGFB1	L	R
