gene_A	gene_B	type_A	type_B
INHBA	ACVR1C	L	R
INHA	ACVR2B	L	R
INHBA	ACVR2B	L	R
INHBB	ACVR1B	L	R
INHBB	ACVR2A	L	R
INHBB	ACVR1	L	R
INHBB	ACVR1C	L	R
INHBB	ACVR2B	L	R
ITGB1	ADGRE5	L	R
ITGB1	ADGRE2	L	R
ITGA5	ADGRE5	L	R
ITGAV	ADGRB1	L	R
ITGB5	ADGRB1	L	R
LAMA1	ITGA2	L	R
LAMA1	ITGB1	L	R
LAMB1	ITGA2	L	R
LAMC1	ITGA2	L	R
LAMA1	ITGA6	L	R
LAMA1	ITGA1	L	R
LAMB1	ITGA1	L	R
LAMC1	ITGA1	L	R
LAMA1	ITGA7	L	R
LAMB1	ITGA7	L	R
LAMC1	ITGA7	L	R
LAMA1	ITGB4	L	R
LAMB1	ITGB4	L	R
LAMC1	ITGB4	L	R
LAMA4	ITGA6	L	R
LAMA4	ITGB1	L	R
CYP3A4	NR1H4	L	R
CYP21A2	NR3C2	L	R
IL6R	JAK1	L	R
IL6R	JAK2	L	R
IL6R	TYK2	L	R
IL6ST	JAK1	L	R
IL6ST	JAK2	L	R
IL6ST	TYK2	L	R
DBH	ADRB2	L	R
SLC6A2	ADRB2	L	R
DBH	ADRB1	L	R
SLC6A2	ADRB1	L	R
DBH	ADRA2A	L	R
SLC6A2	ADRA2A	L	R
DBH	ADRB3	L	R
SLC6A2	ADRB3	L	R
DBH	ADRA2B	L	R
SLC6A2	ADRA2B	L	R
DBH	ADRA2C	L	R
SLC6A2	ADRA2C	L	R
DBH	ADRA1D	L	R
SLC6A2	ADRA1D	L	R
DBH	ADRA1A	L	R
SLC6A2	ADRA1A	L	R
DBH	ADRA1B	L	R
SLC6A2	ADRA1B	L	R
SLC18A1	ADRB2	L	R
SLC18A1	ADRB1	L	R
SLC18A1	ADRA2A	L	R
SLC18A1	ADRB3	L	R
SLC18A1	ADRA2B	L	R
SLC18A1	ADRA2C	L	R
SLC18A1	ADRA1D	L	R
SLC18A1	ADRA1A	L	R
SLC18A1	ADRA1B	L	R
SLC18A2	ADRB2	L	R
SLC18A2	ADRB1	L	R
SLC18A2	ADRA2A	L	R
SLC18A2	ADRB3	L	R
SLC18A2	ADRA2B	L	R
SLC18A2	ADRA2C	L	R
SLC18A2	ADRA1D	L	R
SLC18A2	ADRA1A	L	R
SLC18A2	ADRA1B	L	R
CSF1	CSF1R	L	R
IL34	CSF1R	L	R
ALOX5	FPR2	L	R
